# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
0.400 	       1.000e-10
0.401 	       1.000e-10
0.402 	       5.735e-08
0.403 	       9.831e-08
0.404 	       8.848e-08
0.405 	       9.285e-08
0.406 	       9.693e-08
0.407 	       1.033e-07
0.408 	       1.464e-07
0.409 	       1.466e-07
0.410 	       1.660e-07
0.411 	       1.214e-07
0.412 	       1.816e-07
0.413 	       1.980e-07
0.414 	       2.029e-07
0.415 	       1.996e-07
0.416 	       1.932e-07
0.417 	       1.648e-07
0.418 	       1.328e-07
0.419 	       1.316e-07
0.420 	       1.327e-07
0.421 	       8.942e-08
0.422 	       6.105e-08
0.423 	       7.294e-08
0.424 	       7.213e-08
0.425 	       7.213e-08
0.426 	       8.775e-08
0.427 	       8.775e-08
0.428 	       7.169e-08
0.429 	       7.466e-08
0.430 	       8.172e-08
0.431 	       8.432e-08
0.432 	       8.065e-08
0.433 	       8.960e-08
0.434 	       8.960e-08
0.435 	       1.111e-07
0.436 	       1.111e-07
0.437 	       1.091e-07
0.438 	       1.050e-07
0.439 	       8.986e-08
0.440 	       9.358e-08
0.441 	       9.806e-08
0.442 	       9.624e-08
0.443 	       1.068e-07
0.444 	       5.504e-08
0.445 	       5.544e-08
0.446 	       5.544e-08
0.447 	       6.165e-08
0.448 	       5.278e-08
0.449 	       4.647e-08
0.450 	       2.444e-08
0.451 	       2.933e-08
0.452 	       2.000e-08
0.453 	       2.000e-08
0.454 	       4.190e-08
0.455 	       4.190e-08
0.456 	       3.570e-08
0.457 	       3.570e-08
0.458 	       4.667e-08
0.459 	       5.872e-08
0.460 	       4.671e-08
0.461 	       5.084e-08
0.462 	       7.483e-08
0.463 	       5.252e-08
0.464 	       6.078e-08
0.465 	       6.078e-08
0.466 	       6.920e-08
0.467 	       5.823e-08
0.468 	       4.618e-08
0.469 	       5.450e-08
0.470 	       5.854e-08
0.471 	       3.455e-08
0.472 	       3.455e-08
0.473 	       5.625e-08
0.474 	       5.700e-08
0.475 	       4.858e-08
0.476 	       7.505e-08
0.477 	       9.965e-08
0.478 	       9.133e-08
0.479 	       8.746e-08
0.480 	       8.746e-08
0.481 	       8.746e-08
0.482 	       5.750e-08
0.483 	       6.374e-08
0.484 	       6.374e-08
0.485 	       3.728e-08
0.486 	       2.357e-08
0.487 	       2.357e-08
0.488 	       1.799e-08
0.489 	       2.177e-08
0.490 	       2.177e-08
0.491 	       3.584e-08
0.492 	       2.884e-08
0.493 	       2.884e-08
0.494 	       2.884e-08
0.495 	       1.795e-08
0.496 	       1.795e-08
0.497 	       1.795e-08
0.498 	       2.660e-08
0.499 	       2.660e-08
0.500 	       1.253e-08
0.501 	       1.859e-08
0.502 	       1.998e-08
0.503 	       1.998e-08
0.504 	       3.087e-08
0.505 	       3.087e-08
0.506 	       3.193e-08
