# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
    0.500	2.3013E-08
    0.501	1.2536E-08
    0.502	1.6454E-08
    0.503	2.7587E-08
    0.504	4.1827E-08
    0.505	7.2305E-08
    0.506	1.0937E-07
    0.507	1.3748E-07
    0.508	1.9676E-07
    0.509	1.9610E-07
    0.510	2.1379E-07
    0.511	1.7356E-07
    0.512	1.8800E-07
    0.513	2.2786E-07
    0.514	1.9220E-07
    0.515	1.8724E-07
    0.516	9.7500E-08
    0.517	8.1332E-08
    0.518	3.7006E-08
    0.519	6.8211E-08
    0.520	1.0389E-07
    0.521	1.3160E-07
    0.522	1.3436E-07
    0.523	2.2532E-07
    0.524	2.9149E-07
    0.525	3.3513E-07
    0.526	2.6378E-07
    0.527	2.2956E-07
    0.528	2.1120E-07
    0.529	2.2006E-07
    0.530	2.1090E-07
    0.531	1.9199E-07
    0.532	2.4452E-07
    0.533	2.6790E-07
    0.534	2.6840E-07
    0.535	2.3326E-07
    0.536	2.0296E-07
    0.537	1.0233E-07
    0.538	1.4985E-07
    0.539	1.3774E-07
    0.540	1.3744E-07
    0.541	1.0971E-07
    0.542	1.6262E-07
    0.543	1.6615E-07
    0.544	2.4277E-07
    0.545	2.2577E-07
    0.546	2.1936E-07
    0.547	2.0366E-07
    0.548	2.3227E-07
    0.549	2.5647E-07
    0.550	2.4885E-07
    0.551	2.1519E-07
    0.552	3.2399E-07
    0.553	4.3176E-07
    0.554	4.0755E-07
    0.555	3.6705E-07
    0.556	3.1569E-07
    0.557	3.6218E-07
    0.558	4.1428E-07
    0.559	3.9633E-07
    0.560	3.2623E-07
    0.561	2.8509E-07
    0.562	2.5696E-07
    0.563	2.5827E-07
    0.564	2.4664E-07
    0.565	2.6001E-07
    0.566	2.7682E-07
    0.567	2.6601E-07
    0.568	2.8567E-07
    0.569	2.4538E-07
    0.570	2.7200E-07
    0.571	2.5435E-07
    0.572	2.7524E-07
    0.573	2.1679E-07
    0.574	2.2026E-07
    0.575	2.2133E-07
    0.576	2.7023E-07
    0.577	3.0512E-07
    0.578	3.4091E-07
    0.579	3.9292E-07
    0.580	4.6621E-07
    0.581	5.2675E-07
    0.582	5.4700E-07
    0.583	5.3850E-07
    0.584	5.1453E-07
    0.585	5.0360E-07
    0.586	4.9849E-07
    0.587	5.8494E-07
    0.588	6.1919E-07
    0.589	6.5727E-07
    0.590	7.1130E-07
    0.591	7.1266E-07
    0.592	7.8543E-07
    0.593	7.8988E-07
    0.594	9.2750E-07
    0.595	9.7544E-07
    0.596	1.0511E-06
    0.597	1.2622E-06
    0.598	1.9640E-06
    0.599	5.1200E-06
    0.600	1.8195E-05
    0.601	6.5684E-05
    0.602	2.1264E-04
    0.603	1.0154E-03
    0.604	4.1457E-03
    0.605	1.3105E-02
    0.606	3.9505E-02
    0.607	9.5320E-02
    0.608	1.9037E-01
    0.609	3.1871E-01
    0.610	4.5894E-01
    0.611	5.8769E-01
    0.612	6.8136E-01
    0.613	7.3409E-01
    0.614	7.5568E-01
    0.615	7.5940E-01
    0.616	7.6400E-01
    0.617	7.8057E-01
    0.618	8.0438E-01
    0.619	8.3117E-01
    0.620	8.5589E-01
    0.621	8.7833E-01
    0.622	8.9652E-01
    0.623	9.0890E-01
    0.624	9.1685E-01
    0.625	9.1895E-01
    0.626	9.1819E-01
    0.627	9.1391E-01
    0.628	9.0750E-01
    0.629	9.0035E-01
    0.630	8.9001E-01
    0.631	8.7859E-01
    0.632	8.6699E-01
    0.633	8.6082E-01
    0.634	8.6274E-01
    0.635	8.7151E-01
    0.636	8.8513E-01
    0.637	8.9931E-01
    0.638	9.0989E-01
    0.639	9.1666E-01
    0.640	9.1910E-01
    0.641	9.2020E-01
    0.642	9.2121E-01
    0.643	9.2313E-01
    0.644	9.2605E-01
    0.645	9.2717E-01
    0.646	9.2513E-01
    0.647	9.2182E-01
    0.648	9.1879E-01
    0.649	9.1724E-01
    0.650	9.1628E-01
    0.651	9.1473E-01
    0.652	9.1297E-01
    0.653	9.1064E-01
    0.654	9.0892E-01
    0.655	9.0779E-01
    0.656	9.0672E-01
    0.657	9.0448E-01
    0.658	9.0285E-01
    0.659	9.0344E-01
    0.660	9.0601E-01
    0.661	9.0999E-01
    0.662	9.1531E-01
    0.663	9.2216E-01
