# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
    0.750	1.620E-06
    0.751	1.518E-06
    0.752	1.604E-06
    0.753	1.570E-06
    0.754	1.836E-06
    0.755	1.456E-06
    0.756	1.802E-06
    0.757	1.629E-06
    0.758	1.842E-06
    0.759	2.000E-06
    0.760	1.758E-06
    0.761	1.809E-06
    0.762	1.853E-06
    0.763	2.243E-06
    0.764	2.035E-06
    0.765	1.970E-06
    0.766	2.136E-06
    0.767	2.288E-06
    0.768	2.285E-06
    0.769	2.148E-06
    0.770	2.565E-06
    0.771	2.526E-06
    0.772	2.687E-06
    0.773	2.490E-06
    0.774	2.632E-06
    0.775	2.747E-06
    0.776	3.011E-06
    0.777	3.310E-06
    0.778	3.311E-06
    0.779	4.029E-06
    0.780	4.903E-06
    0.781	7.579E-06
    0.782	1.260E-05
    0.783	2.448E-05
    0.784	5.465E-05
    0.785	1.259E-04
    0.786	2.950E-04
    0.787	7.114E-04
    0.788	1.840E-03
    0.789	4.960E-03
    0.790	1.332E-02
    0.791	3.377E-02
    0.792	7.544E-02
    0.793	1.450E-01
    0.794	2.429E-01
    0.795	3.603E-01
    0.796	4.819E-01
    0.797	5.953E-01
    0.798	6.935E-01
    0.799	7.712E-01
    0.800	8.259E-01
    0.801	8.654E-01
    0.802	8.907E-01
    0.803	9.102E-01
    0.804	9.276E-01
    0.805	9.455E-01
    0.806	9.504E-01
    0.807	9.435E-01
    0.808	9.226E-01
    0.809	8.950E-01
    0.810	8.686E-01
    0.811	8.554E-01
    0.812	8.530E-01
    0.813	8.573E-01
    0.814	8.578E-01
    0.815	8.556E-01
    0.816	8.441E-01
    0.817	8.334E-01
    0.818	8.361E-01
    0.819	8.559E-01
    0.820	8.806E-01
    0.821	9.155E-01
    0.822	9.393E-01
    0.823	9.570E-01
    0.824	9.633E-01
    0.825	9.628E-01
    0.826	9.501E-01
    0.827	9.343E-01
    0.828	9.266E-01
    0.829	9.248E-01
    0.830	9.291E-01
    0.831	9.359E-01
    0.832	9.358E-01
    0.833	9.300E-01
    0.834	9.182E-01
    0.835	9.043E-01
    0.836	8.938E-01
    0.837	8.893E-01
    0.838	8.903E-01
    0.839	8.961E-01
    0.840	9.027E-01
    0.841	9.092E-01
    0.842	9.124E-01
    0.843	9.208E-01
    0.844	9.300E-01
    0.845	9.389E-01
    0.846	9.466E-01
    0.847	9.510E-01
    0.848	9.498E-01
    0.849	9.511E-01
    0.850	9.560E-01
    0.851	9.582E-01
    0.852	9.632E-01
    0.853	9.570E-01
    0.854	9.510E-01
    0.855	9.418E-01
    0.856	9.317E-01
    0.857	9.234E-01
    0.858	9.158E-01
    0.859	9.120E-01
    0.860	9.020E-01
    0.861	8.956E-01
    0.862	8.889E-01
    0.863	8.791E-01
    0.864	8.785E-01
    0.865	8.863E-01
    0.866	8.878E-01
    0.867	8.999E-01
    0.868	9.151E-01
    0.869	9.239E-01
    0.870	9.326E-01
    0.871	9.471E-01
    0.872	9.520E-01
    0.873	9.603E-01
    0.874	9.625E-01
    0.875	9.603E-01
    0.876	9.487E-01
    0.877	9.425E-01
    0.878	9.396E-01
    0.879	9.287E-01
    0.880	9.106E-01
    0.881	9.117E-01
    0.882	9.055E-01
    0.883	8.954E-01
    0.884	8.967E-01
    0.885	8.834E-01
    0.886	8.589E-01
    0.887	8.446E-01
    0.888	8.410E-01
    0.889	8.668E-01
    0.890	8.622E-01
    0.891	8.894E-01
    0.892	9.188E-01
    0.893	9.377E-01
    0.894	9.454E-01
    0.895	9.509E-01
    0.896	9.612E-01
    0.897	9.705E-01
    0.898	9.518E-01
    0.899	9.422E-01
    0.900	9.369E-01
    0.901	9.233E-01
    0.902	9.089E-01
    0.903	8.969E-01
    0.904	8.829E-01
    0.905	8.705E-01
    0.906	8.635E-01
    0.907	8.542E-01
    0.908	8.480E-01
    0.909	8.486E-01
    0.910	8.515E-01
    0.911	8.637E-01
    0.912	8.714E-01
    0.913	8.828E-01
    0.914	9.033E-01
    0.915	9.118E-01
    0.916	9.302E-01
    0.917	9.491E-01
    0.918	9.597E-01
    0.919	9.691E-01
    0.920	9.722E-01
    0.921	9.717E-01
    0.922	9.751E-01
    0.923	9.676E-01
    0.924	9.591E-01
    0.925	9.424E-01
    0.926	9.319E-01
    0.927	9.239E-01
    0.928	9.163E-01
    0.929	9.081E-01
    0.930	9.072E-01
    0.931	9.029E-01
    0.932	9.024E-01
    0.933	9.011E-01
    0.934	8.997E-01
    0.935	8.985E-01
    0.936	8.980E-01
    0.937	8.968E-01
    0.938	9.010E-01
    0.939	9.033E-01
    0.940	9.103E-01
    0.941	9.245E-01
    0.942	9.353E-01
    0.943	9.476E-01
    0.944	9.539E-01
    0.945	9.639E-01
    0.946	9.649E-01
    0.947	9.681E-01
    0.948	9.621E-01
    0.949	9.559E-01
    0.950	9.529E-01
    0.951	9.481E-01
    0.952	9.426E-01
    0.953	9.324E-01
    0.954	9.287E-01
    0.955	9.199E-01
    0.956	9.179E-01
    0.957	9.146E-01
    0.958	9.113E-01
    0.959	9.090E-01
    0.960	9.131E-01
    0.961	9.137E-01
    0.962	9.177E-01
    0.963	9.271E-01
    0.964	9.376E-01
    0.965	9.476E-01
    0.966	9.572E-01
    0.967	9.656E-01
    0.968	9.693E-01
    0.969	9.744E-01
    0.970	9.811E-01
    0.971	9.749E-01
    0.972	9.736E-01
    0.973	9.711E-01
    0.974	9.674E-01
    0.975	9.620E-01
    0.976	9.601E-01
    0.977	9.519E-01
    0.978	9.454E-01
    0.979	9.332E-01
    0.980	9.268E-01
    0.981	9.172E-01
    0.982	9.145E-01
    0.983	9.183E-01
    0.984	9.257E-01
    0.985	9.366E-01
    0.986	9.527E-01
    0.987	9.644E-01
    0.988	9.768E-01
    0.989	9.801E-01
    0.990	9.859E-01
    0.991	9.834E-01
    0.992	9.826E-01
    0.993	9.795E-01
    0.994	9.734E-01
    0.995	9.641E-01
    0.996	9.682E-01
    0.997	9.631E-01
    0.998	9.641E-01
    0.999	9.641E-01
    1.000	9.616E-01
    1.001	9.500E-01
    1.002	9.071E-01
    1.003	8.292E-01
    1.004	7.136E-01
    1.005	5.716E-01
    1.006	4.535E-01
    1.007	3.676E-01
    1.008	2.947E-01
    1.009	2.392E-01
    1.010	1.920E-01
    1.011	1.644E-01
    1.012	1.327E-01
    1.013	1.187E-01
    1.014	1.005E-01
    1.015	8.804E-02
    1.016	7.401E-02
    1.017	6.802E-02
    1.018	5.849E-02
    1.019	5.139E-02
    1.020	4.290E-02
    1.021	3.347E-02
    1.022	2.501E-02
    1.023	1.855E-02
    1.024	1.309E-02
    1.025	9.106E-03
    1.026	6.304E-03
    1.027	4.386E-03
    1.028	3.031E-03
    1.029	2.157E-03
    1.030	1.544E-03
    1.031	1.107E-03
    1.032	8.151E-04
    1.033	6.052E-04
    1.034	4.511E-04
    1.035	3.420E-04
    1.036	2.617E-04
    1.037	2.027E-04
    1.038	1.582E-04
    1.039	1.250E-04
    1.040	1.039E-04
    1.041	8.381E-05
    1.042	6.825E-05
    1.043	5.596E-05
    1.044	4.776E-05
    1.045	4.100E-05
    1.046	3.568E-05
    1.047	3.169E-05
    1.048	2.936E-05
    1.049	2.533E-05
    1.050	2.250E-05
    1.051	2.150E-05
