# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
    1.507	9.674E-01
    1.508	9.691E-01
    1.509	9.714E-01
    1.510	9.726E-01
    1.511	9.729E-01
    1.512	9.733E-01
    1.513	9.747E-01
    1.514	9.743E-01
    1.515	9.740E-01
    1.516	9.722E-01
    1.517	9.734E-01
    1.518	9.728E-01
    1.519	9.733E-01
    1.520	9.719E-01
    1.521	9.716E-01
    1.522	9.710E-01
    1.523	9.720E-01
    1.524	9.714E-01
    1.525	9.715E-01
    1.526	9.699E-01
    1.527	9.695E-01
    1.528	9.687E-01
    1.529	9.665E-01
    1.530	9.664E-01
    1.531	9.648E-01
    1.532	9.642E-01
    1.533	9.601E-01
    1.534	9.598E-01
    1.535	9.596E-01
    1.536	9.604E-01
    1.537	9.591E-01
    1.538	9.586E-01
    1.539	9.576E-01
    1.540	9.561E-01
    1.541	9.551E-01
    1.542	9.548E-01
    1.543	9.544E-01
    1.544	9.554E-01
    1.545	9.549E-01
    1.546	9.545E-01
    1.547	9.522E-01
    1.548	9.532E-01
    1.549	9.533E-01
    1.550	9.536E-01
    1.551	9.507E-01
    1.552	9.501E-01
    1.553	9.491E-01
    1.554	9.502E-01
    1.555	9.494E-01
    1.556	9.484E-01
    1.557	9.472E-01
    1.558	9.466E-01
    1.559	9.467E-01
    1.560	9.459E-01
    1.561	9.460E-01
    1.562	9.446E-01
    1.563	9.452E-01
    1.564	9.445E-01
    1.565	9.451E-01
    1.566	9.452E-01
    1.567	9.444E-01
    1.568	9.447E-01
    1.569	9.454E-01
    1.570	9.463E-01
    1.571	9.479E-01
    1.572	9.499E-01
    1.573	9.525E-01
    1.574	9.541E-01
    1.575	9.537E-01
    1.576	9.552E-01
    1.577	9.565E-01
    1.578	9.586E-01
    1.579	9.607E-01
    1.580	9.637E-01
    1.581	9.663E-01
    1.582	9.679E-01
    1.583	9.698E-01
    1.584	9.726E-01
    1.585	9.755E-01
    1.586	9.753E-01
    1.587	9.766E-01
    1.588	9.765E-01
    1.589	9.799E-01
    1.590	9.807E-01
    1.591	9.830E-01
    1.592	9.831E-01
    1.593	9.839E-01
    1.594	9.835E-01
    1.595	9.825E-01
    1.596	9.835E-01
    1.597	9.838E-01
    1.598	9.849E-01
    1.599	9.826E-01
    1.600	9.834E-01
    1.601	9.822E-01
    1.602	9.828E-01
    1.603	9.805E-01
    1.604	9.824E-01
    1.605	9.835E-01
    1.606	9.845E-01
    1.607	9.821E-01
    1.608	9.813E-01
    1.609	9.815E-01
    1.610	9.826E-01
    1.611	9.828E-01
    1.612	9.817E-01
    1.613	9.821E-01
    1.614	9.827E-01
    1.615	9.836E-01
    1.616	9.843E-01
    1.617	9.847E-01
    1.618	9.830E-01
    1.619	9.820E-01
    1.620	9.792E-01
    1.621	9.806E-01
    1.622	9.789E-01
    1.623	9.801E-01
    1.624	9.792E-01
    1.625	9.794E-01
    1.626	9.780E-01
    1.627	9.786E-01
    1.628	9.781E-01
    1.629	9.778E-01
    1.630	9.759E-01
    1.631	9.758E-01
    1.632	9.770E-01
    1.633	9.771E-01
    1.634	9.773E-01
    1.635	9.772E-01
    1.636	9.774E-01
    1.637	9.773E-01
    1.638	9.763E-01
    1.639	9.763E-01
    1.640	9.756E-01
    1.641	9.756E-01
    1.642	9.740E-01
    1.643	9.743E-01
    1.644	9.709E-01
    1.645	9.718E-01
    1.646	9.706E-01
    1.647	9.728E-01
    1.648	9.710E-01
    1.649	9.718E-01
    1.650	9.717E-01
    1.651	9.733E-01
    1.652	9.753E-01
    1.653	9.776E-01
    1.654	9.794E-01
    1.655	9.778E-01
    1.656	9.759E-01
    1.657	9.723E-01
    1.658	9.669E-01
    1.659	9.553E-01
    1.660	9.396E-01
    1.661	9.161E-01
    1.662	8.875E-01
    1.663	8.474E-01
    1.664	8.013E-01
    1.665	7.474E-01
    1.666	6.906E-01
    1.667	6.317E-01
    1.668	5.706E-01
    1.669	5.087E-01
    1.670	4.481E-01
    1.671	3.907E-01
    1.672	3.391E-01
    1.673	2.909E-01
    1.674	2.492E-01
    1.675	2.137E-01
    1.676	1.845E-01
    1.677	1.610E-01
    1.678	1.406E-01
