# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
2.374	        1.196e-03
2.376	        1.494e-03
2.377	        1.889e-03
2.378	        2.409e-03
2.379	        3.101e-03
2.380	        4.022e-03
2.382	        5.247e-03
2.383	        6.892e-03
2.384	        9.100e-03
2.385	        1.203e-02
2.386	        1.591e-02
2.388	        2.097e-02
2.389	        2.747e-02
2.390	        3.567e-02
2.391	        4.582e-02
2.392	        5.812e-02
2.394	        7.272e-02
2.395	        8.974e-02
2.396	        1.092e-01
2.397	        1.312e-01
2.398	        1.557e-01
2.400	        1.827e-01
2.401	        2.121e-01
2.402	        2.441e-01
2.403	        2.785e-01
2.404	        3.154e-01
2.406	        3.546e-01
2.407	        3.959e-01
2.408	        4.390e-01
2.409	        4.832e-01
2.410	        5.278e-01
2.412	        5.714e-01
2.413	        6.129e-01
2.414	        6.508e-01
2.415	        6.837e-01
2.416	        7.111e-01
2.418	        7.326e-01
2.419	        7.488e-01
2.420	        7.606e-01
2.421	        7.692e-01
2.422	        7.758e-01
2.424	        7.813e-01
2.425	        7.863e-01
2.426	        7.913e-01
2.427	        7.964e-01
2.428	        8.015e-01
2.430	        8.066e-01
2.431	        8.115e-01
2.432	        8.161e-01
2.433	        8.201e-01
2.434	        8.237e-01
2.436	        8.266e-01
2.437	        8.289e-01
2.438	        8.306e-01
2.439	        8.318e-01
2.440	        8.324e-01
2.442	        8.325e-01
2.443	        8.322e-01
2.444	        8.316e-01
2.445	        8.307e-01
2.446	        8.297e-01
2.448	        8.285e-01
2.449	        8.274e-01
2.450	        8.263e-01
2.451	        8.252e-01
2.452	        8.243e-01
2.454	        8.235e-01
2.455	        8.229e-01
2.456	        8.225e-01
2.457	        8.223e-01
2.458	        8.223e-01
2.460	        8.224e-01
2.461	        8.226e-01
2.462	        8.230e-01
2.463	        8.236e-01
2.464	        8.242e-01
2.466	        8.250e-01
2.467	        8.259e-01
2.468	        8.269e-01
2.469	        8.280e-01
2.470	        8.292e-01
2.472	        8.304e-01
2.473	        8.318e-01
2.474	        8.333e-01
2.475	        8.349e-01
2.476	        8.365e-01
2.478	        8.381e-01
2.479	        8.397e-01
2.480	        8.413e-01
2.481	        8.427e-01
2.482	        8.441e-01
2.484	        8.453e-01
2.485	        8.464e-01
2.486	        8.473e-01
2.487	        8.481e-01
2.488	        8.486e-01
2.490	        8.490e-01
2.491	        8.491e-01
2.492	        8.492e-01
2.493	        8.491e-01
2.494	        8.489e-01
2.496	        8.485e-01
2.497	        8.481e-01
2.498	        8.475e-01
2.499	        8.467e-01
2.500	        8.459e-01
2.502	        8.450e-01
2.503	        8.441e-01
2.504	        8.431e-01
2.505	        8.421e-01
2.506	        8.412e-01
2.508	        8.404e-01
2.509	        8.396e-01
2.510	        8.389e-01
2.511	        8.384e-01
2.512	        8.381e-01
2.514	        8.379e-01
2.515	        8.379e-01
2.516	        8.381e-01
2.517	        8.384e-01
2.518	        8.387e-01
2.520	        8.392e-01
2.521	        8.398e-01
2.522	        8.404e-01
2.523	        8.410e-01
2.524	        8.417e-01
2.526	        8.424e-01
2.527	        8.431e-01
2.528	        8.438e-01
2.529	        8.444e-01
2.530	        8.450e-01
2.532	        8.457e-01
2.533	        8.463e-01
2.534	        8.468e-01
2.535	        8.474e-01
2.536	        8.478e-01
2.538	        8.481e-01
2.539	        8.483e-01
2.540	        8.483e-01
2.541	        8.481e-01
2.542	        8.478e-01
2.544	        8.473e-01
2.545	        8.467e-01
2.546	        8.460e-01
2.547	        8.451e-01
2.548	        8.440e-01
2.550	        8.428e-01
2.551	        8.415e-01
2.552	        8.402e-01
2.553	        8.389e-01
2.554	        8.375e-01
2.556	        8.361e-01
2.557	        8.347e-01
2.558	        8.331e-01
2.559	        8.314e-01
2.560	        8.296e-01
2.562	        8.276e-01
2.563	        8.255e-01
2.564	        8.230e-01
2.565	        8.200e-01
2.566	        8.162e-01
2.568	        8.113e-01
2.569	        8.054e-01
2.570	        7.980e-01
2.571	        7.890e-01
2.572	        7.785e-01
2.574	        7.661e-01
2.575	        7.516e-01
2.576	        7.349e-01
2.577	        7.156e-01
2.578	        6.935e-01
2.580	        6.683e-01
2.581	        6.398e-01
2.582	        6.079e-01
2.583	        5.727e-01
2.584	        5.343e-01
2.586	        4.929e-01
2.587	        4.494e-01
2.588	        4.043e-01
2.589	        3.585e-01
2.590	        3.132e-01
2.592	        2.693e-01
2.593	        2.278e-01
2.594	        1.898e-01
2.595	        1.559e-01
2.596	        1.264e-01
2.598	        1.015e-01
2.599	        8.102e-02
2.600	        6.436e-02
2.601	        5.099e-02
2.602	        4.039e-02
2.604	        3.205e-02
2.605	        2.550e-02
2.606	        2.038e-02
2.607	        1.635e-02
2.608	        1.319e-02
2.610	        1.069e-02
2.611	        8.712e-03
2.612	        7.132e-03
2.613	        5.868e-03
2.615	        4.841e-03
2.616	        4.010e-03
2.617	        3.338e-03
2.618	        2.785e-03
2.619	        2.335e-03
2.621	        1.967e-03
2.622	        1.662e-03
2.623	        1.405e-03
2.624	        1.189e-03
2.625	        1.007e-03
