# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
0.833	        1.816e-04
0.835	        1.514e-04
0.836	        1.297e-04
0.838	        1.135e-04
0.839	        1.188e-04
0.841	        1.174e-04
0.843	        1.214e-04
0.844	        9.810e-05
0.846	        7.956e-05
0.847	        7.698e-05
0.849	        7.698e-05
0.851	        7.844e-05
0.852	        8.633e-05
0.854	        8.470e-05
0.856	        5.806e-05
0.857	        5.261e-05
0.859	        5.207e-05
0.860	        9.016e-05
0.862	        9.016e-05
0.864	        1.148e-04
0.865	        1.134e-04
0.867	        1.055e-04
0.868	        1.300e-04
0.870	        1.377e-04
0.872	        1.113e-04
0.873	        1.113e-04
0.875	        8.596e-05
0.876	        1.027e-04
0.878	        1.111e-04
0.880	        1.288e-04
0.881	        1.320e-04
0.883	        9.602e-05
0.884	        1.148e-04
0.886	        1.312e-04
0.888	        1.605e-04
0.889	        1.559e-04
0.891	        1.642e-04
0.892	        1.593e-04
0.894	        1.416e-04
0.896	        1.527e-04
0.897	        1.511e-04
0.899	        1.248e-04
0.901	        1.084e-04
0.902	        7.909e-05
0.904	        7.755e-05
0.905	        5.253e-05
0.907	        2.433e-05
0.909	        4.678e-05
0.910	        4.101e-05
0.912	        3.786e-05
0.913	        4.071e-05
0.915	        4.098e-05
0.917	        4.093e-05
0.918	        3.464e-05
0.920	        4.444e-05
0.921	        5.717e-05
0.923	        3.476e-05
0.925	        4.657e-05
0.926	        4.659e-05
0.928	        5.479e-05
0.929	        6.390e-05
0.931	        7.378e-05
0.933	        8.199e-05
0.934	        8.183e-05
0.936	        7.339e-05
0.938	        7.845e-05
0.939	        7.027e-05
0.941	        7.602e-05
0.942	        6.480e-05
0.944	        5.922e-05
0.946	        5.237e-05
0.947	        5.284e-05
0.949	        4.863e-05
0.950	        5.743e-05
0.952	        5.236e-05
0.954	        4.017e-05
0.955	        3.577e-05
0.957	        3.580e-05
0.958	        3.802e-05
0.960	        3.499e-05
0.962	        2.597e-05
0.963	        2.740e-05
0.965	        1.850e-05
0.966	        2.240e-05
0.968	        3.540e-05
0.970	        3.515e-05
0.971	        4.083e-05
0.973	        3.483e-05
0.975	        4.870e-05
0.976	        5.075e-05
0.978	        4.708e-05
0.979	        4.846e-05
0.981	        5.970e-05
0.983	        6.635e-05
0.984	        6.895e-05
0.986	        6.347e-05
0.987	        7.063e-05
0.989	        6.153e-05
0.991	        5.948e-05
0.992	        5.629e-05
0.994	        5.693e-05
0.995	        4.175e-05
0.997	        2.210e-05
0.999	        1.838e-05
1.000	        3.039e-05
1.002	        2.326e-05
1.003	        1.849e-05
1.005	        2.536e-05
1.007	        2.729e-05
1.008	        2.316e-05
1.010	        2.708e-05
1.011	        2.890e-05
1.013	        2.890e-05
1.015	        1.667e-05
1.016	        2.278e-05
1.018	        2.279e-05
1.020	        1.602e-05
1.021	        1.410e-05
1.023	        1.215e-05
1.024	        8.226e-06
1.026	        6.490e-06
1.028	        1.291e-05
1.029	        1.712e-05
1.031	        1.220e-05
1.032	        1.690e-05
1.034	        2.090e-05
1.036	        2.090e-05
1.037	        2.076e-05
1.039	        2.453e-05
1.040	        2.933e-05
1.042	        2.766e-05
1.044	        3.073e-05
1.045	        3.991e-05
1.047	        3.880e-05
1.048	        3.968e-05
1.050	        4.126e-05
1.052	        4.289e-05
1.053	        4.921e-05
1.055	        5.272e-05
1.057	        4.877e-05
1.058	        4.229e-05
1.060	        3.501e-05
1.061	        3.519e-05
1.063	        3.439e-05
1.065	        3.475e-05
1.066	        3.622e-05
1.068	        2.613e-05
1.069	        1.775e-05
1.071	        1.967e-05
1.073	        1.902e-05
1.074	        1.812e-05
1.076	        1.437e-05
1.077	        1.072e-05
1.079	        8.792e-06
