# JWST NIRCAM preliminary Filter transmission curve
# http://www.stsci.edu/jwst/instruments/nircam/instrumentdesign/filters
# retrieved 2014.09.09 by S.Rodney
# Microns	Transmission
    1.680	1.052E-04
    1.681	1.138E-04
    1.682	1.228E-04
    1.683	1.328E-04
    1.684	1.426E-04
    1.685	1.542E-04
    1.686	1.661E-04
    1.687	1.797E-04
    1.688	1.937E-04
    1.689	2.091E-04
    1.690	2.263E-04
    1.691	2.458E-04
    1.692	2.698E-04
    1.693	2.960E-04
    1.694	3.260E-04
    1.695	3.587E-04
    1.696	3.958E-04
    1.697	4.391E-04
    1.698	4.880E-04
    1.699	5.437E-04
    1.700	6.090E-04
    1.701	6.828E-04
    1.702	7.686E-04
    1.703	8.667E-04
    1.704	9.790E-04
    1.705	1.106E-03
    1.706	1.250E-03
    1.707	1.414E-03
    1.708	1.600E-03
    1.709	1.811E-03
    1.710	2.051E-03
    1.711	2.319E-03
    1.712	2.622E-03
    1.713	2.964E-03
    1.714	3.348E-03
    1.715	3.783E-03
    1.716	4.279E-03
    1.717	4.842E-03
    1.718	5.477E-03
    1.719	6.206E-03
    1.720	7.043E-03
    1.721	8.011E-03
    1.722	9.132E-03
    1.723	1.045E-02
    1.724	1.197E-02
    1.725	1.378E-02
    1.726	1.592E-02
    1.727	1.848E-02
    1.728	2.155E-02
    1.729	2.522E-02
    1.730	2.958E-02
    1.731	3.472E-02
    1.732	4.090E-02
    1.733	4.763E-02
    1.734	5.452E-02
    1.735	6.049E-02
    1.736	6.642E-02
    1.737	7.216E-02
    1.738	7.906E-02
    1.739	8.663E-02
    1.740	9.576E-02
    1.741	1.068E-01
    1.742	1.191E-01
    1.743	1.335E-01
    1.744	1.488E-01
    1.745	1.673E-01
    1.746	1.879E-01
    1.747	2.129E-01
    1.748	2.425E-01
    1.749	2.776E-01
    1.750	3.170E-01
    1.751	3.606E-01
    1.752	4.058E-01
    1.753	4.530E-01
    1.754	5.000E-01
    1.755	5.472E-01
    1.756	5.911E-01
    1.757	6.318E-01
    1.758	6.679E-01
    1.759	7.003E-01
    1.760	7.279E-01
    1.761	7.540E-01
    1.762	7.790E-01
    1.763	8.022E-01
    1.764	8.248E-01
    1.765	8.465E-01
    1.766	8.677E-01
    1.767	8.863E-01
    1.768	9.036E-01
    1.769	9.201E-01
    1.770	9.355E-01
